egoid,alterid,mu,k,p,c,branching factor,log likelihood,AIC
10153,91313,0.419404464,0.010485278,1.458991834,0.000340617,0.892147548,15516.79122,-31025.58244
10153,155221,0.784941468,0.009106793,1.526653276,0.000632797,0.836498414,19940.46319,-39872.92637
10153,574915,0.347796936,0.012404247,1.47970624,0.000713106,0.835904318,6092.568645,-12177.13729
10237,395167,0.261576718,0.006014965,1.590721978,0.000513163,0.893664847,13150.61933,-26293.23866
10237,549070,1.014093703,0.006031954,1.561591229,0.000497756,0.76906725,18176.51691,-36345.03382
10237,791455,0.906901256,0.005830689,1.580698272,0.000396798,0.948361935,114954.5277,-229901.0553
10469,207787,0.555532895,0.000418936,2.0098235,0.000511017,0.874584514,14083.4418,-28158.88359
10469,525877,0.22533623,0.010039744,1.481659072,0.000368953,0.938712339,7899.617565,-15791.23513
10732,25548,1.981749463,0.005086045,1.576253843,0.000449824,0.748968297,12326.44191,-24644.88383
10732,301294,0.978898003,0.000336071,2.039287387,0.000477535,0.914455894,43706.30465,-87404.6093
10732,328260,0.534081371,0.002344732,1.72677647,0.000436984,0.891914587,16389.15105,-32770.3021
10732,504448,0.475135104,0.002955241,1.693514792,0.000458247,0.881280489,11946.80316,-23885.60633
10732,787712,0.902655117,0.005842318,1.573838705,0.000575878,0.735940856,4214.621942,-8421.243883
10732,808464,1.076581436,0.004983124,1.580470191,0.000408815,0.795479796,13054.89427,-26101.78854
11002,17308,0.031286722,0.046060676,1.152529483,0.000211913,1.097351252,1835.815641,-3663.631281
11002,28312,0.25223128,0.031774848,1.246916235,0.000332719,0.929585576,4888.559982,-9769.119963
11002,48676,0.166165414,0.015078163,1.424742031,0.00042116,0.963745244,11609.64933,-23211.29866
11002,79395,0.043160176,0.030831467,1.234650107,0.000211236,0.957121355,1347.506699,-2687.013398
11002,264640,0.102877094,0.018090957,1.351928452,0.000405966,0.802742548,620.9836102,-1233.96722
11002,298357,0.144398552,0.015379138,1.378218284,0.000262192,0.919884231,3641.133544,-7274.267088
11002,334783,0.1237948,0.00880635,1.472933681,0.000272172,0.903812189,3563.479309,-7118.958617
11002,503852,0.137097742,0.034979967,1.225305134,0.000266297,0.991817619,6945.60139,-13883.20278
11002,551644,0.024853559,0.045550705,1.172912868,0.000284846,1.080715465,6249.692028,-12491.38406
11002,559519,0.04867977,0.020180893,1.377315548,0.000580746,0.889680057,665.5995262,-1323.199052
11002,796159,0.084988875,0.030415454,1.231605521,0.000337037,0.836670517,348.4686985,-688.9373969
11002,823378,0.120072273,0.022638499,1.313324991,0.000336133,0.885489521,1861.096064,-3714.192128
11002,858353,0.121235894,0.021334286,1.392556444,0.000725241,0.928140858,3482.271585,-6956.543171
11148,140926,0.633405519,0.002986339,1.797153207,0.001257026,0.76889031,5166.641022,-10325.28204
11148,654075,0.036710866,0.003938974,1.711773865,0.000713144,0.961318136,1656.963594,-3305.927188
11148,967737,0.008826108,0.031195782,1.301577358,0.000488742,1.030850483,32129.80879,-64251.61757
11402,634849,0.026211078,0.041688082,1.191146449,0.000280883,1.041111972,1916.56101,-3825.122021
11402,880730,0.06536816,0.042515078,1.201423774,0.000400258,1.020473492,4024.064379,-8040.128757
11402,972269,0.266795084,0.017990422,1.371716663,0.000320929,0.962620593,22235.60449,-44463.20897
12029,39414,0.047586278,0.001786861,1.762538,0.000698156,0.597634028,22.26469046,-36.52938093
12156,22989,1.167142029,0.003396325,1.65384328,0.000421072,0.836907493,17612.29581,-35216.59162
12156,47584,1.467279646,0.001330915,1.815146024,0.000495974,0.806488741,18193.35158,-36378.70316
12156,736952,1.18261441,0.002794266,1.700109961,0.000510255,0.805400989,17906.96418,-35805.92836
12156,791434,0.126412989,0.001953091,1.767652549,0.000446219,0.949599703,8847.775574,-17687.55115
13486,869544,2.011052634,0.003820373,1.623897442,0.000388415,0.822095523,39492.13319,-78976.26638
14250,450233,0.04982679,0.019176351,1.431556098,0.000893506,0.919393153,485.8105897,-963.6211794
14250,495894,0.200982026,0.003803883,1.663654977,0.00059365,0.793500349,802.7094374,-1597.418875
14250,801513,0.055141036,0.025073316,1.312648087,0.000434902,0.901895879,241.4522853,-474.9045706
14279,29134,0.742112831,0.017405084,1.368849803,0.000339922,0.89789693,24883.29942,-49758.59884
14279,31538,0.246544914,0.032036577,1.243153799,0.000268935,0.97254497,12544.06471,-25080.12941
14279,757402,2.355120377,0.002755146,1.711703776,0.000491734,0.875695419,107535.7436,-215063.4873
14301,31175,0.02084732,0.023014952,1.305624312,0.000274827,0.922852523,433.7166218,-859.4332436
14301,50072,0.142059466,0.021248854,1.298888218,0.000176035,0.941830593,1655.989145,-3303.97829
14301,60997,0.146240442,0.000970778,1.883025131,0.000470265,0.954008337,12265.41458,-24522.82917
14301,92340,0.989988,0.006918261,1.51574832,0.000277454,0.916172938,44931.57349,-89855.14698
14301,207772,0.007903848,0.026880245,1.286997387,0.000252137,1.009895328,5274.775212,-10541.55042
14301,319112,1.475513589,0.011965377,1.450231227,0.00037003,0.932346741,124661.0677,-249314.1353
14301,345354,0.207247823,0.019146699,1.348159721,0.000350186,0.877912925,5074.409576,-10140.81915
14301,374061,0.143607994,0.013440702,1.399498802,0.000297079,0.862958808,3874.71473,-7741.429459
14301,377025,0.054435839,0.038912706,1.173100518,0.000158383,1.022410763,2553.216414,-5098.432828
14301,391242,0.368934013,0.002247438,1.730493528,0.000414512,0.90978429,26744.57526,-53481.15052
14301,477067,0.112748351,0.015348586,1.37662004,0.00027539,0.893205991,3204.592876,-6401.185752
14301,523723,0.272235686,0.01055835,1.547110389,0.00092273,0.882999107,8012.936421,-16017.87284
14301,531930,0.296399161,0.020639519,1.322308672,0.000257373,0.919039551,9187.210616,-18366.42123
14301,590727,0.421076349,0.028923555,1.27269583,0.000332206,0.942260283,21343.38594,-42678.77188
14301,729959,0.359912572,0.008412172,1.483987572,0.000289825,0.896099126,15675.70957,-31343.41913
14301,796142,0.04365677,0.015144406,1.426676102,0.000653159,0.811164789,333.7478614,-659.4957228
14301,838889,0.02336093,0.014041224,1.429311813,0.000362963,0.980672549,3752.083469,-7496.166938
14511,70668,0.094799951,0.007316754,1.510640583,0.000280761,0.932881286,1701.192347,-3394.384695
14511,641689,0.29683442,0.007894118,1.421812945,0.000240031,0.629554813,717.5770115,-1427.154023
14606,141354,0.260973499,0.052969056,1.122255258,0.00029522,1.170301883,15535.89663,-31063.79326
14606,533220,0.052174058,0.0614991,1.100921473,0.000563199,1.296621342,1042.22829,-2076.45658
14606,711006,0.078852483,0.058412485,1.085271669,0.000341957,1.352866611,1097.512981,-2187.025962
14606,970041,0.00391516,0.046359172,1.165138085,0.000275274,1.086973062,107.3732456,-206.7464912
14737,91429,0.02164263,0.011007429,1.454120518,0.000326344,0.928381385,975.9820745,-1943.964149
14737,777692,0.003908551,0.005292981,1.565152227,0.000327336,0.873160857,96.23420034,-184.4684007
14737,849156,0.03492407,2.18E-11,103.7709799,1.223586392,2.09E-22,-117.5736329,243.1472658
14737,929872,0.026602322,0.002583721,1.722121288,0.000448221,0.936837251,1478.208639,-2948.417278
14847,257950,0.055411012,0.01154503,1.458638324,0.000389403,0.92193047,2733.042998,-5458.085996
14847,283145,0.024793917,0.017077527,1.408159225,0.000445193,0.976160763,1975.662565,-3943.32513
14847,547156,0.299762727,0.021497703,1.325659177,0.00033555,0.893403357,11463.99275,-22919.9855
14847,743602,0.109781353,0.012684155,1.43730213,0.000390858,0.897010422,5250.692217,-10493.38443
14847,978845,0.017145463,0.012608474,1.453011145,0.000516948,0.85782562,283.0736227,-558.1472453
15134,97050,0.015424282,0.018803759,1.35961623,0.000266462,1.008799945,24102.25653,-48196.51305
15134,281432,0.004998423,0.024455967,1.310314359,0.000268644,1.010789386,11201.68425,-22395.36851
15134,591803,0.008145275,0.034598958,1.264203214,0.000402216,1.033326755,2756.553548,-5505.107096
15134,642129,0.005346512,0.015040039,1.3988022,0.000265884,1.005384713,2355.06439,-4702.12878
15134,789331,0.007685659,0.039352325,1.205669464,0.000235781,1.066264217,3929.455388,-7850.910776
15181,23115,0.224732563,0.032245747,1.238251339,0.000313751,0.924975502,6744.080785,-13480.16157
15181,24883,0.808560331,0.019697872,1.32225077,0.000257254,0.876978424,22049.30486,-44090.60973
15181,51882,0.112371724,0.020063902,1.347006667,0.000283861,0.98372411,26552.17153,-53096.34307
15181,62072,0.156820344,0.014102046,1.407165343,0.000266229,0.988606118,55467.09944,-110926.1989
15181,63138,0.04236512,0.032087452,1.248218816,0.00024716,1.015853942,17854.60269,-35701.20538
15181,66682,0.266633596,0.027126737,1.279101434,0.000264023,0.969081746,26397.3187,-52786.63739
15181,67917,0.076253287,0.034425135,1.22798997,0.000240816,1.009018764,12968.85857,-25929.71714
15181,78657,0.006232384,0.037447638,1.207474032,0.000214208,1.041637939,13545.60126,-27083.20251
15181,314834,0.610343774,0.004289974,1.639969341,0.000545171,0.821891179,18949.84304,-37891.68609
15181,414139,0.063912,0.034438172,1.215685237,0.000261127,0.946349853,1964.213742,-3920.427484
15181,435706,0.092957247,0.004600269,1.66643178,0.000643871,0.924155792,8046.584848,-16085.1697
15181,580142,2.060101636,0.000659086,1.970244194,0.000601316,0.905979386,158730.3607,-317452.7214
15181,621613,0.049890502,0.00011647,2.179141715,0.000410772,0.972058312,697.6971484,-1387.394297
15181,828105,0.135138124,0.005211677,1.563008341,0.000320434,0.858540909,5135.449407,-10262.89881
15181,854222,1.245126015,0.003346627,1.679474081,0.000451573,0.923549662,111198.1083,-222388.2165
15181,901216,0.005190929,0.042185344,1.189159578,0.00026553,1.058635147,13619.18354,-27230.36707
16654,93485,0.355982442,0.002091636,1.814367497,0.000708722,0.943051795,5345.119741,-10682.23948
16654,462613,1.153014146,0.004329122,1.610603118,0.000466682,0.766560849,5931.572555,-11855.14511
16654,474600,0.280077774,0.001829197,1.809377282,0.000570537,0.953893116,11499.58078,-22991.16156
16654,762747,1.705830732,0.003445886,1.6920831,0.000729693,0.738091772,2579.759443,-5151.518886
16654,774265,0.634791979,5.15E-05,2.385666545,0.000684249,0.902358366,13388.78831,-26769.57661
16654,949057,0.303586146,0.014472764,1.413757894,0.000430216,0.864259339,2343.391322,-4678.782644
16654,958103,2.635429687,0.000721535,1.969715258,0.000674698,0.884043681,43921.61141,-87835.22283
17020,49800,0.229960238,0.003192855,1.677171026,0.000389721,0.959674177,19696.07741,-39384.15482
