EgoID;AlterID;Completed_1;Completed_2;Completed_3;Completed_4;Completed_5;Completed_6;Completed_7;Completed_8;Rel.type_1;Rel.type_2;Rel.type_3;Rel.type_4;Rel.type_5;Rel.type_6;Rel.type_7;Rel.type_8;NumOfEvents_1;NumOfEvents_2;NumOfEvents_3;NumOfEvents_4;NumOfEvents_5;NumOfEvents_6;NumOfEvents_7;NumOfEvents_8;RelationshipOverTime;TippingPoint
10237;970860;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;1087;234;62;216;51;639;425;144;single-desc;NA
10237;791455;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Family;Family;NA;NA;Family;Family;NA;NA;502;1763;1761;2432;4851;6477;3561;1807;family-relaxing;7
10237;794543;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;1704;914;570;690;301;96;60;0;single-desc;NA
10237;944646;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;1033;551;348;351;271;57;94;70;single-desc;NA
10237;395167;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Family;Family;NA;NA;Family;Family;NA;NA;368;34;480;584;522;694;410;212;family-relaxing;7
10237;606285;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;RomanticPartner;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;single-desc;NA
10237;201164;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;1219;303;16;9;4;0;0;0;single-desc;NA
10237;710213;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;26;0;0;0;0;0;0;0;single-desc;NA
10237;555957;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;88;7;0;0;0;0;0;0;single-desc;NA
10237;715237;2015-08-06 12:56:11;2016-02-05 20:07:41;2016-06-26 22:17:59;2016-11-01 15:29:04;2017-04-10 21:23:55;2017-11-15 22:06:52;2018-05-01 20:00:49;2019-04-16 12:42:13;Friend;NA;NA;NA;NA;NA;NA;NA;450;113;26;33;108;41;53;0;single-desc;NA
10547;462072;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;Family;NA;NA;NA;NA;NA;NA;NA;930;1086;0;0;0;0;0;0;single-desc;NA
10547;822283;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;Friend;NA;NA;NA;NA;NA;NA;NA;3358;2302;0;0;0;0;0;0;single-desc;NA
10547;822663;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;Acquaintance;NA;NA;NA;NA;NA;NA;NA;84;102;0;0;0;0;0;0;single-desc;NA
10547;932326;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;RomanticPartner;NA;NA;NA;NA;NA;NA;NA;493;1;0;0;0;0;0;0;single-desc;NA
10547;445589;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;RomanticPartner;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;single-desc;NA
10547;277145;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;Friend;NA;NA;NA;NA;NA;NA;NA;325;53;0;0;0;0;0;0;single-desc;NA
10547;212527;2015-08-28 14:12:18;2016-02-22 00:08:12;NA;NA;NA;NA;NA;NA;Family;NA;NA;NA;NA;NA;NA;NA;160;33;0;0;0;0;0;0;single-desc;NA
11002;466461;2015-08-06 13:47:51;2016-02-01 14:40:02;2016-06-25 18:58:04;2016-11-08 13:44:44;2017-04-10 20:22:12;2017-11-13 21:44:08;NA;NA;RomanticPartner;NA;NA;NA;NA;NA;NA;NA;2270;7867;27;14;0;0;0;0;single-desc;NA
11002;301361;2015-08-06 13:47:51;2016-02-01 14:40:02;2016-06-25 18:58:04;2016-11-08 13:44:44;2017-04-10 20:22:12;2017-11-13 21:44:08;NA;NA;Friend;NA;NA;NA;NA;NA;NA;NA;1544;3561;1870;193;758;529;2;0;single-desc;NA
